15:24:37.931576 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5906784:5906948, ack 3061, win 501, length 164
15:24:37.931610 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5906948:5907112, ack 3061, win 501, length 164
15:24:37.931647 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5907112:5907276, ack 3061, win 501, length 164
15:24:37.931680 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5907276:5907440, ack 3061, win 501, length 164
15:24:37.931716 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5907440:5907604, ack 3061, win 501, length 164
15:24:37.931749 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5907604:5907768, ack 3061, win 501, length 164
15:24:37.931785 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5907768:5907932, ack 3061, win 501, length 164
15:24:37.931818 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5907932:5908096, ack 3061, win 501, length 164
15:24:37.931854 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5908096:5908260, ack 3061, win 501, length 164
15:24:37.931889 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5908260:5908424, ack 3061, win 501, length 164
15:24:37.931925 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5908424:5908588, ack 3061, win 501, length 164
15:24:37.931959 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5908588:5908752, ack 3061, win 501, length 164
15:24:37.932005 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5908752:5908916, ack 3061, win 501, length 164
15:24:37.932054 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5908916:5909080, ack 3061, win 501, length 164
15:24:37.932104 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5909080:5909244, ack 3061, win 501, length 164
15:24:37.932135 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5909244:5909408, ack 3061, win 501, length 164
15:24:37.932166 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5909408:5909572, ack 3061, win 501, length 164
15:24:37.932198 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5909572:5909736, ack 3061, win 501, length 164
15:24:37.932229 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5909736:5909900, ack 3061, win 501, length 164
15:24:37.932260 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5909900:5910064, ack 3061, win 501, length 164
15:24:37.932291 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5910064:5910228, ack 3061, win 501, length 164
